pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
852892,,bse_fo,SO,VBL,VBL25OCT490PE,PE,VBL30OCT25490.00PE,,540180,,,VBL25OCT490PE,,,5,1025,1761848999,1,2,49000,BSE,SO,1761848999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1761782400,1761782400,,,,,Physical,,0,1,0.00,1025,0,6160,1270,1,1,1,0,0,1,0,-1,1,0,100000000
877771,,bse_fo,IO,SENSEX,SENSEX25O2380300CE,CE,SENSEX23OCT2580300.00CE,,1,,,SENSEX25O2380300CE,,,5,20,1761244199,1,2,8.03e+06,BSE,IO,1761244199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1761177600,1761177600,,,,,Cash,,0,1,0.00,20,0,468235,65485,1,1,1,0,0,1,0,-1,1,0,1000
863585,,bse_fo,SO,ZYDUSLIFE,ZYDUSLIFE25SEP870PE,PE,ZYDUSLIFE25SEP25870.00PE,,532321,,,ZYDUSLIFE25SEP870PE,,,5,900,1758824999,1,2,87000,BSE,SO,1758824999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1758758400,1758758400,,,,,Physical,,0,1,0.00,900,0,2010,5,1,1,1,0,0,1,0,-1,1,0,54000
832838,,bse_fo,SO,BHARATFORG,BHARATFORG25SEP1240CE,CE,BHARATFORG25SEP251240.00CE,,500493,,,BHARATFORG25SEP1240CE,,,5,500,1758824999,1,2,124000,BSE,SO,1758824999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1758758400,1758758400,,,,,Physical,,0,1,0.00,500,0,8065,5,1,1,1,0,0,1,0,-1,1,0,30000
858768,,bse_fo,SO,AMBER,AMBER25SEP6700PE,PE,AMBER25SEP256700.00PE,,540902,,,AMBER25SEP6700PE,,,5,100,1758824999,1,2,670000,BSE,SO,1758824999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1758758400,1758758400,,,,,Physical,,0,1,0.00,100,0,2050,5,1,1,1,0,0,1,0,-1,1,0,100000000
852468,,bse_fo,SO,ASHOKLEY,ASHOKLEY25OCT123.75CE,CE,ASHOKLEY30OCT25123.75CE,,500477,,,ASHOKLEY25OCT123.75CE,,,5,5000,1761848999,1,2,12375,BSE,SO,1761848999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1761782400,1761782400,,,,,Physical,,0,1,0.00,5000,0,3165,1095,1,1,1,0,0,1,0,-1,1,0,150000
875630,,bse_fo,SO,EICHERMOT,EICHERMOT25NOV6150PE,PE,EICHERMOT27NOV256150.00PE,,505200,,,EICHERMOT25NOV6150PE,,,5,175,1764268199,1,2,615000,BSE,SO,1764268199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1764201600,1764201600,,,,,Physical,,0,1,0.00,175,0,6990,5,1,1,1,0,0,1,0,-1,1,0,7000
850538,,bse_fo,SO,DELHIVERY,DELHIVERY25OCT380PE,PE,DELHIVERY30OCT25380.00PE,,543529,,,DELHIVERY25OCT380PE,,,5,2075,1761848999,1,2,38000,BSE,SO,1761848999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1761782400,1761782400,,,,,Physical,,0,1,0.00,2075,0,2130,5,1,1,1,0,0,1,0,-1,1,0,100000000
887017,,bse_fo,SO,TIINDIA,TIINDIA25NOV3650CE,CE,TIINDIA27NOV253650.00CE,,540762,,,TIINDIA25NOV3650CE,,,5,200,1764268199,1,2,365000,BSE,SO,1764268199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1764201600,1764201600,,,,,Physical,,0,1,0.00,200,0,20140,5,1,1,1,0,0,1,0,-1,1,0,100000000
1100354,,bse_fo,SO,INDUSINDBK,INDUSINDBK25OCT660PE,PE,INDUSINDBK30OCT25660.00PE,,532187,,,INDUSINDBK25OCT660PE,,,5,700,1761848999,1,2,66000,BSE,SO,1761848999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1761782400,1761782400,,,,,Physical,,0,1,0.00,700,0,2255,5,1,1,1,0,0,1,0,-1,1,0,20000
